Date,Open,High,Low,Close,Volume
10/18/18,1821.49,1830.15,1767.87,1770.72,5873995
10/17/18,1842.79,1845.00,1807.00,1831.73,5295177
10/16/18,1783.50,1823.88,1761.55,1819.96,5859918
10/15/18,1795.00,1795.05,1734.23,1760.95,6437162
10/12/18,1808.00,1808.95,1742.53,1788.61,9444587
10/11/18,1724.00,1755.40,1685.10,1719.36,13935872
10/10/18,1857.89,1858.56,1754.41,1755.25,10988855
10/09/18,1859.99,1896.6759,1852.32,1870.32,4772866
10/08/18,1874.00,1901.9962,1830.6627,1864.42,7393199
10/05/18,1917.99,1929.08,1862.83,1889.65,6822327
10/04/18,1949.00,1956.00,1896.57,1909.42,7256973
10/03/18,1981.70,1989.70,1949.81,1952.76,5253131
10/02/18,1999.99,2013.39,1965.77,1971.31,5400749
10/01/18,2021.99,2033.19,2003.60,2004.36,3468285
09/28/18,2004.41,2026.52,1996.4648,2003.00,4085135
09/27/18,1993.2365,2016.1564,1988.58,2012.98,4329391
09/26/18,1968.50,1995.25,1961.52,1974.85,4313459
09/25/18,1942.90,1975.91,1938.85,1974.55,4538407
09/24/18,1903.79,1936.88,1865.00,1934.36,4213728
09/21/18,1954.22,1957.31,1910.5011,1915.01,6855898
09/20/18,1938.58,1955.00,1932.25,1944.30,3154934
09/19/18,1940.50,1940.83,1904.90,1926.42,4056822
09/18/18,1918.65,1958.20,1915.4391,1941.05,4268706
09/17/18,1954.73,1956.82,1887.41,1908.03,7050192
09/14/18,1992.93,1993.648,1959.22,1970.19,3642030
09/13/18,2000.00,2008.76,1982.0277,1989.87,3621511
09/12/18,1994.00,2000.00,1962.44,1990.00,4414012
09/11/18,1928.27,1988.88,1917.00,1987.15,5033645
09/10/18,1971.00,1973.04,1931.5158,1939.01,4544831
09/07/18,1938.71,1975.20,1937.35,1952.07,4892643
09/06/18,2006.505,2007.50,1935.209,1958.31,7488680
